,size,floor,district,metro,rooms,renovation,price,size_fuzz,floor_fuzz,metro_fuzz,rooms_fuzz,price_fuzz
0,27,6,Деснянський,449,3,old,18892,Small,Normal,Near,Normal,Cheap
1,63,20,Печерський,2822,1,fashion,28566,Normal,High,Far,Few,Cheap
2,22,17,Святошинський,3659,2,classic,79437,Small,High,Far,Normal,Expensive
3,60,2,Оболонський,3841,1,old,29460,Normal,Low,Far,Few,Cheap
4,61,16,Дарницький,3414,2,fashion,84209,Normal,High,Far,Normal,Expensive
5,98,4,Голосіївський,3999,2,classic,56754,Large,Low,Far,Normal,Expensive
6,88,22,Дніпровський,4461,1,classic,47705,Large,High,Far,Few,Normal
7,41,17,Шевченківський,3342,1,new,47889,Normal,High,Far,Few,Normal
8,45,7,Оболонський,1298,1,old,28463,Normal,Normal,Normal,Few,Cheap
9,70,12,Деснянський,1049,2,old,29988,Large,Normal,Normal,Normal,Cheap
10,83,20,Дарницький,2507,3,classic,43324,Large,High,Far,Normal,Normal
11,63,18,Подільський,4054,2,old,69885,Normal,High,Far,Normal,Expensive
12,87,23,Шевченківський,335,2,classic,97435,Large,High,Near,Normal,Expensive
13,87,9,Голосіївський,4842,2,old,70319,Large,Normal,Far,Normal,Expensive
14,84,15,Подільський,2006,1,classic,68454,Large,High,Normal,Few,Expensive
15,99,15,Подільський,899,2,fashion,83202,Large,High,Normal,Normal,Expensive
16,62,6,Голосіївський,1634,1,classic,11625,Normal,Normal,Normal,Few,Cheap
17,31,3,Соломянський,4650,2,classic,53468,Small,Low,Far,Normal,Expensive
18,51,15,Соломянський,626,2,classic,91928,Normal,High,Normal,Normal,Expensive
19,63,18,Дарницький,344,3,classic,92173,Normal,High,Near,Normal,Expensive
20,65,11,Дарницький,3085,3,classic,23262,Normal,Normal,Far,Normal,Cheap
21,72,21,Печерський,3235,3,new,37987,Large,High,Far,Normal,Normal
22,28,11,Дніпровський,2664,3,fashion,84037,Small,Normal,Far,Normal,Expensive
23,64,23,Святошинський,821,3,fashion,98900,Normal,High,Normal,Normal,Expensive
24,32,22,Святошинський,2821,1,new,77714,Small,High,Far,Few,Expensive
25,26,19,Деснянський,2302,1,new,43446,Small,High,Normal,Few,Normal
26,33,5,Деснянський,4997,2,fashion,96722,Small,Normal,Far,Normal,Expensive
27,35,5,Подільський,3636,3,new,56101,Small,Normal,Far,Normal,Expensive
28,99,3,Дніпровський,2008,3,fashion,59932,Large,Low,Normal,Normal,Expensive
29,77,18,Печерський,991,1,classic,57484,Large,High,Normal,Few,Expensive
30,78,7,Оболонський,846,3,new,58059,Large,Normal,Normal,Normal,Expensive
31,96,21,Соломянський,4722,3,fashion,86472,Large,High,Far,Normal,Expensive
32,88,9,Шевченківський,2469,1,fashion,16848,Large,Normal,Normal,Few,Cheap
33,79,17,Дарницький,2271,2,classic,56307,Large,High,Normal,Normal,Expensive
34,30,12,Голосіївський,2461,2,classic,89466,Small,Normal,Normal,Normal,Expensive
35,84,9,Деснянський,1527,1,old,82454,Large,Normal,Normal,Few,Expensive
36,42,6,Оболонський,755,1,classic,87822,Normal,Normal,Normal,Few,Expensive
37,77,15,Святошинський,2254,2,fashion,87665,Large,High,Normal,Normal,Expensive
38,49,4,Дарницький,957,3,classic,33210,Normal,Low,Normal,Normal,Normal
39,98,22,Подільський,3488,3,fashion,60116,Large,High,Far,Normal,Expensive
40,61,2,Шевченківський,413,2,new,88923,Normal,Low,Near,Normal,Expensive
41,86,1,Дніпровський,1298,3,old,88142,Large,Low,Normal,Normal,Expensive
42,77,11,Шевченківський,2150,2,new,76459,Large,Normal,Normal,Normal,Expensive
43,67,12,Деснянський,4718,1,classic,70981,Large,Normal,Far,Few,Expensive
44,73,17,Соломянський,3748,2,classic,19174,Large,High,Far,Normal,Cheap
45,60,12,Дніпровський,1008,1,old,38385,Normal,Normal,Normal,Few,Normal
46,89,20,Дарницький,1393,3,old,27691,Large,High,Normal,Normal,Cheap
47,90,8,Печерський,4150,3,classic,88139,Large,Normal,Far,Normal,Expensive
48,52,10,Оболонський,2188,2,fashion,34532,Normal,Normal,Normal,Normal,Normal
49,38,10,Печерський,4934,2,new,44808,Normal,Normal,Far,Normal,Normal
50,94,3,Святошинський,1648,2,fashion,90936,Large,Low,Normal,Normal,Expensive
51,22,18,Дарницький,4833,1,classic,59977,Small,High,Far,Few,Expensive
52,22,2,Деснянський,390,3,fashion,82171,Small,Low,Near,Normal,Expensive
53,83,9,Дніпровський,4031,3,old,73994,Large,Normal,Far,Normal,Expensive
54,21,3,Святошинський,1743,1,fashion,88796,Small,Low,Normal,Few,Expensive
55,62,5,Дарницький,4488,1,new,89174,Normal,Normal,Far,Few,Expensive
56,29,13,Подільський,3197,1,classic,11996,Small,High,Far,Few,Cheap
57,45,13,Шевченківський,920,2,old,61602,Normal,High,Normal,Normal,Expensive
58,32,23,Голосіївський,410,1,fashion,69215,Small,High,Near,Few,Expensive
59,88,18,Подільський,1847,3,classic,17165,Large,High,Normal,Normal,Cheap
60,51,1,Дніпровський,1577,2,new,68370,Normal,Low,Normal,Normal,Expensive
61,98,19,Святошинський,1806,1,fashion,65836,Large,High,Normal,Few,Expensive
62,77,17,Шевченківський,2816,2,new,33147,Large,High,Far,Normal,Normal
63,23,20,Деснянський,4272,1,new,74425,Small,High,Far,Few,Expensive
64,52,20,Шевченківський,1997,1,new,91352,Normal,High,Normal,Few,Expensive
65,31,7,Печерський,3116,2,old,29709,Small,Normal,Far,Normal,Cheap
66,53,19,Дніпровський,2496,2,old,79551,Normal,High,Normal,Normal,Expensive
67,35,22,Шевченківський,4155,1,classic,98468,Small,High,Far,Few,Expensive
68,57,6,Шевченківський,1667,2,fashion,27752,Normal,Normal,Normal,Normal,Cheap
69,57,18,Печерський,1403,1,new,99719,Normal,High,Normal,Few,Expensive
70,95,13,Святошинський,4850,1,classic,46687,Large,High,Far,Few,Normal
71,70,4,Дніпровський,903,3,old,50696,Large,Low,Normal,Normal,Expensive
72,20,12,Соломянський,2944,1,classic,24328,Small,Normal,Far,Few,Cheap
73,21,21,Шевченківський,3688,2,old,68749,Small,High,Far,Normal,Expensive
74,85,7,Деснянський,1728,1,classic,88670,Large,Normal,Normal,Few,Expensive
75,41,6,Печерський,1546,3,old,70146,Normal,Normal,Normal,Normal,Expensive
76,80,8,Деснянський,2988,1,old,30206,Large,Normal,Far,Few,Normal
77,50,5,Святошинський,3122,3,old,61107,Normal,Normal,Far,Normal,Expensive
78,46,4,Шевченківський,4438,2,classic,85682,Normal,Low,Far,Normal,Expensive
79,29,4,Дарницький,4704,3,fashion,90054,Small,Low,Far,Normal,Expensive
80,23,6,Оболонський,4334,3,new,82038,Small,Normal,Far,Normal,Expensive
81,83,24,Голосіївський,3712,1,old,65567,Large,High,Far,Few,Expensive
